WF_STAGE_ID,WF_ID,WF_APPROVER,WF_ORDER,WF_DEPT_ID,WF_DESIG_ID,WF_APPR_RANGE
262,103,23615,2,271,122,0
264,104,23615,2,271,122,100000
268,106,23691,2,274,122,100000
274,109,23718,2,277,122,100000
275,110,23904,1,278,121,0
276,110,23727,2,278,122,100000
281,105,23624,2,272,122,100000
315,129,25915,1,293,120,0
316,129,23590,2,293,122,0
317,102,23549,1,268,133,0
318,103,23559,1,271,133,0
319,104,23840,1,271,120,0
320,119,25977,1,280,120,0
321,109,23894,1,277,120,0
322,106,23867,1,274,120,0
323,130,26232,1,294,120,0
325,118,23549,2,268,133,0
326,118,23589,3,268,122,100000
327,105,23564,1,272,133,0
339,130,23591,2,294,122,100000
